EXPERIMENTO_ID,CENARIO,REPETICAO,QUERY_ID,EXECUTION_STATUS,WAREHOUSE_SIZE,TOTAL_ELAPSED_TIME,EXECUTION_TIME,BYTES_SCANNED,ROWS_PRODUCED,QUERY_TEXT,PARTITIONS_SCANNED,PARTITIONS_TOTAL
E1,normalizado,1,01bdc82d-0001-2f92-0001-f31a0005b206,SUCCESS,Small,51350,50847,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,2,01bdc82e-0001-2f90-0001-f31a0005d21a,SUCCESS,Small,46481,45767,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,3,01bdc82f-0001-2f92-0001-f31a0005b20e,SUCCESS,Small,42176,41792,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,4,01bdc82f-0001-2f92-0001-f31a0005b212,SUCCESS,Small,38310,37905,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,5,01bdc830-0001-2f91-0001-f31a0005c262,SUCCESS,Small,37229,36852,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,6,01bdc831-0001-2f92-0001-f31a0005b21a,SUCCESS,Small,39029,38445,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,7,01bdc831-0001-2f92-0001-f31a0005b21e,SUCCESS,Small,46936,46699,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,8,01bdc832-0001-2f82-0001-f31a0005e0d6,SUCCESS,Small,47400,46820,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,9,01bdc833-0001-2f92-0001-f31a0005b22a,SUCCESS,Small,38735,38306,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,10,01bdc834-0001-2f92-0001-f31a0005b232,SUCCESS,Small,44970,44513,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
E1,normalizado,11,01bdc835-0001-2f92-0001-f31a0005b236,SUCCESS,Small,39354,38839,1917556224,5297,"SELECT
    m.nm_mun AS cidade,
    COUNT(l.id_face_logradouro) AS quantidade_logradouros
FROM
    normalizado_logradouros AS l
JOIN
    normalizado_municipios AS m ON ST_Contains(m.geometry, l.geometry)
GROUP BY
    m.nm_mun
ORDER BY
    quantidade_logradouros DESC;",212,212
